O,O3,NO,NO2,NO3,O1D,N2O5,OH,HO2,H2,CO,H2O2,HONO,HNO3,HO2NO2,SO2,SO3,HSO3,NA,SA,CL,CH4,CH3O2,CH3OOH,HCHO,CH3NO3,CH3O,CH3O2NO2,CH3OH,times
4.6060896534947896e-20,7.595515427886281e-10,3.392181089286505e-9,1.980619424414767e-9,4.318908920662373e-20,4.0791644127272374e-20,4.143259558522771e-20,4.2205885921845215e-20,4.2119188850145754e-20,4.999999026822669e-7,2.0176089912042123e-7,5.018644148650854e-10,4.143258826486461e-20,4.1432588283147286e-20,4.143259824268942e-20,9.999998838425157e-10,4.143258828314664e-20,4.201772585779078e-20,4.143258828314664e-20,4.143258828314664e-20,4.143249156514432e-20,2.1366845416847693e-6,4.2059563545944514e-20,4.143258828314655e-20,8.725532992262908e-9,4.1432588283147563e-20,4.09420638738886e-20,4.143283665444118e-20,1.1579816799201031e-10,-540.0
6.138949217330937e-20,1.1660834689521905e-10,3.733959023608001e-9,1.3837811419607275e-9,2.1358691110500207e-16,3.681604953887648e-35,1.3130654552989186e-16,2.6914654246601615e-20,1.7889029050469258e-19,5.002094252114966e-7,2.0983553744767358e-7,4.3824234030194146e-10,3.9563756039020787e-19,6.438227964409604e-19,7.92728477300712e-20,1.0004189289273586e-9,2.0081319701923952e-23,4.6920277056234525e-27,3.8228151985806366e-19,1.3385176970635223e-19,5.0086170996303695e-23,2.0191147810707264e-6,1.1736253194890355e-20,4.1449949078350446e-20,1.1509026813983084e-8,4.164709013098871e-20,9.555794160993023e-24,2.006702346578506e-21,1.3475288052748864e-10,-525.0
4.638178265521193e-20,1.9368226446613022e-10,3.254891682739123e-9,1.3759651798675425e-9,1.0153286432077963e-16,4.759653461489282e-36,1.4182291062631942e-16,1.7519161008404326e-20,1.2267604563671829e-19,5.004614472256177e-7,2.1031620728669217e-7,4.4667532925524187e-10,6.633267982612213e-19,1.0851072024588958e-18,7.998425507949673e-20,1.0009229729782246e-9,1.8262698240503996e-23,4.622463643109487e-27,2.4227255707683602e-18,1.4240689013822531e-19,9.573249150118782e-28,2.0192923201661277e-6,8.519208524097492e-21,4.147083163724101e-20,1.1446352310687058e-8,4.1791319956489994e-20,0.0,1.3680706347830728e-21,1.340764920549901e-10,-510.0
4.763538200795485e-20,1.7179345815690117e-10,3.354810859402466e-9,1.4419689900711495e-9,9.603410679431513e-17,1.0899195874130766e-36,1.2560079871444682e-16,1.4665271586925404e-20,1.101895547113955e-19,5.00638258291022e-7,2.1100490686190995e-7,4.5381089311141867e-10,8.257625836489857e-19,1.360189580550984e-18,6.76029258839069e-20,1.0012765951318378e-9,1.2346261941676839e-24,2.605153407281958e-28,3.855241631488501e-18,1.4747761085827162e-19,5.697078817358893e-33,2.0197478431375864e-6,7.084376848973791e-21,4.1485481828015555e-20,1.2202282961785663e-8,4.1868752724185277e-20,5.379532595876322e-25,1.1679119942138574e-21,1.3972313760818483e-10,-495.0
5.06500677830287e-20,1.9652543960532835e-10,3.4168358246629494e-9,1.5087062402776385e-9,1.1238575849141178e-16,0.0,1.3626298368901738e-16,1.625559290007104e-20,1.2157681154443994e-19,5.008584520421838e-7,2.1127309856636644e-7,4.421732589508317e-10,1.059073850787553e-18,1.8153742545756223e-18,6.805497967586259e-20,1.0017169826485615e-9,7.942462712443499e-25,1.4431872380452776e-28,5.797485875063121e-18,1.5445065443923334e-19,1.3825827416766905e-37,2.019959700712072e-6,7.736704053857394e-21,4.1503726906723274e-20,1.2377613999835786e-8,4.197521440879109e-20,4.530821496749821e-25,1.3042100953763339e-21,1.4262782235672368e-10,-480.0
4.909879226628037e-20,1.5153122027610813e-10,3.614003525338156e-9,1.4922142910865433e-9,7.966597929296129e-17,0.0,1.1356422230426667e-16,1.2396102199065036e-20,8.9110003262867e-20,5.009405673353882e-7,2.126555214981612e-7,4.339946903488976e-10,1.1973789258161883e-18,2.0159906980982794e-18,5.665262522584215e-20,1.0018812132603651e-9,6.581416599660466e-25,1.1976339677288973e-28,6.934129090114587e-18,1.5840163084053746e-19,2.426593218220397e-42,2.0201667286817393e-6,5.541589755912511e-21,4.1510530078583653e-20,1.2855683885476663e-8,4.2029607244083214e-20,4.202253669790647e-25,9.22118574966297e-22,1.4801143877690877e-10,-465.0
4.5127551512562686e-20,9.834435226189557e-12,3.685353909461317e-9,1.4708147418132939e-9,2.8975520943264776e-18,2.572530496587153e-39,3.35649970948967e-17,1.3923580158201828e-21,9.131156877741243e-21,5.010478987278394e-7,2.1309962788616118e-7,4.3371874862607595e-10,1.0072526693162308e-18,1.5168098068960835e-18,1.870730309346687e-20,1.002095876144538e-9,2.384705841845209e-25,3.614918135792956e-29,5.8675157223900534e-18,1.535160190219553e-19,7.538159296779906e-47,2.0206564009742236e-6,5.626169117261971e-22,4.1519422786158074e-20,1.3024538358835748e-8,4.1964342442045646e-20,6.159191157954182e-25,8.008424097234422e-23,1.4876486506559733e-10,-450.0
4.4594721648645625e-20,8.971524984575665e-12,3.774406701022942e-9,1.4466817079405382e-9,4.729560899592786e-18,4.175764493045281e-38,2.0657404052115443e-17,1.0567221030281286e-21,7.469118406634757e-21,5.012871524909233e-7,2.1359407439979667e-7,4.248928992349892e-10,1.014482187333846e-18,1.5183654873125429e-18,1.0528251613042019e-20,1.0025743837125845e-9,1.2764377401916246e-25,1.0160062665168433e-29,6.1176242336252396e-18,1.5426721603197957e-19,7.634433899201667e-52,2.021173722093027e-6,4.607877110485798e-22,4.1539247278515046e-20,1.3238694671268195e-8,4.198648085772539e-20,2.859530950937741e-26,7.326454116540721e-23,1.5351840487839363e-10,-435.0
4.739728403782541e-20,1.017040163776105e-11,3.88222797521453e-9,1.490918996890061e-9,5.261820085843818e-18,2.6378499419236378e-40,1.586272537538066e-17,9.951620541645384e-22,6.943650892211776e-21,5.013526470769067e-7,2.1458235641724579e-7,4.28444962955672e-10,1.051393551342086e-18,1.5820329282874924e-18,7.600850393277253e-21,1.0027053728788e-9,1.0098837363695588e-25,2.2288212390581456e-30,6.495201080664654e-18,1.557819802817456e-19,0.0,2.021966374454047e-6,4.281355788042224e-22,4.1544673101219243e-20,1.333705861762934e-8,4.2005162517778775e-20,4.223596700079016e-26,7.02234104688815e-23,1.5833606767016356e-10,-420.0
3.957853784103967e-20,1.1593640235070754e-11,3.904127170991908e-9,1.3062249506720847e-9,5.296738691233602e-18,9.691081276334775e-38,1.2635106084585229e-17,9.655758153321438e-22,6.718461574690939e-21,5.014952470608515e-7,2.1552134662281983e-7,4.357452821605671e-10,1.0950344095600249e-18,1.6581763331777735e-18,5.80789370793493e-21,1.0029905728445769e-9,1.1170571436798119e-25,9.08374278535065e-30,6.8859010972703044e-18,1.5741206429691732e-19,3.278319524102923e-73,2.0228292306556152e-6,4.108061087830138e-22,4.1556488350954135e-20,1.3588471851276306e-8,4.203266321582559e-20,2.457274290998445e-26,5.944152186830407e-23,1.6138308099518977e-10,-405.0
