duration,rmse_train,rmse_test,mae_train,mae_test,mape_train,mape_test
10 sec,0.06109750754579133,0.05892429375041953,0.04146385074724368,0.04146639751972646,0.005436440835356176,0.00565149078244974
1 min,0.25546228172529,0.23983033532415715,0.17572268169881536,0.17196568191073225,0.023134090603599933,0.023477760502064616
2 min,0.7055614140894303,0.6763968425138557,0.4874321310702026,0.4945028687347788,0.06398559112900769,0.06744158563683739
3 min,1.0552067663855662,1.0365652594665864,0.7289637957070441,0.7690581326989123,0.09573812955820996,0.10516429326703255
4 min,1.375864276795305,1.356725959037262,0.9529945156025605,1.0184820696973866,0.12518108360527228,0.13886549326073108
5 min,1.669571160215861,1.6530250963326978,1.1611347229688889,1.2475124185271915,0.15245221035614767,0.17033375789606248
